GSM3587923	AML1012-D0	SRR8521656
GSM3587925	AML210A-D0	SRR8521658
GSM3587927	AML314-D0	SRR8521660
GSM3587929	AML314-D31	SRR8521662
GSM3587931	AML328-D0	SRR8521664
GSM3587933	AML328-D113	SRR8521666
GSM3587935	AML328-D171	SRR8521668
GSM3587937	AML328-D29	SRR8521670
GSM3587940	AML329-D0	SRR8521673
GSM3587942	AML329-D20	SRR8521675
GSM3587944	AML329-D37	SRR8521677
GSM3587946	AML371-D0	SRR8521679
GSM3587948	AML371-D34	SRR8521681
GSM3587950	AML419A-D0	SRR8521683
GSM3587953	AML420B-D0	SRR8521686
GSM3587955	AML420B-D14	SRR8521688
GSM3587957	AML420B-D35	SRR8521690
GSM3587959	AML475-D0	SRR8521692
GSM3587961	AML475-D29	SRR8521694
GSM3587963	AML556-D0	SRR8521696
GSM3587965	AML556-D15	SRR8521698
GSM3587967	AML556-D31	SRR8521700
GSM3587969	AML707B-D0	SRR8521702
GSM3587971	AML707B-D113	SRR8521704
GSM3587973	AML707B-D18	SRR8521706
GSM3587975	AML707B-D41	SRR8521708
GSM3587977	AML707B-D97	SRR8521710
GSM3587980	AML722B-D0	SRR8521713
GSM3587982	AML722B-D49	SRR8521715
GSM3587984	AML870-D0	SRR8521717
GSM3587986	AML870-D14	SRR8521719
GSM3587988	AML916-D0	SRR8521721
GSM3587990	AML921A-D0	SRR8521723
GSM3587992	AML997-D0	SRR8521727
GSM3587994	AML997-D35	SRR8521729
GSM3587996	BM1	SRR8521731
GSM3587997	BM2	SRR8521732
GSM3587998	BM3	SRR8521733
GSM3588000	BM4	SRR8521735
GSM3588002	BM5-34p	SRR8521737
