samples,genes,regulons,mutated samples,mutated genes,genes random,regulons random,miss mutation,miss regulon,,correct,ignore,auc score
3000,10000,1000,150,100,0.05,0.1,0.5,0.15,,100.00%,0.00%,0.97
3000,10000,1000,150,100,0.05,0.1,0.7,0.15,,100.00%,0.00%,0.97
3000,10000,1000,150,100,0.05,0.1,0.88,0.15,,90.00%,10.00%,0.98
3000,10000,1000,150,100,0.05,0.1,0.95,0.15,,53.00%,47.00%,0.97
3000,10000,1000,600,100,0.2,0.5,0.5,0.5,,21.00%,79.00%,0.96
3000,10000,1000,600,100,0.2,0.5,0.5,0.8,,5.00%,95.00%,0.95
3000,10000,1000,600,100,0.2,0.5,0.8,0.5,,0.00%,100.00%,Nan
3000,10000,1000,600,100,0.2,0.5,0.8,0.8,,0.00%,100.00%,Nan
3000,10000,1000,600,100,0.2,0.8,0.5,0.5,,2.00%,98.00%,1
3000,10000,1000,600,100,0.2,0.8,0.5,0.8,,0.00%,100.00%,Nan
3000,10000,1000,600,100,0.2,0.8,0.8,0.5,,0.00%,100.00%,Nan
3000,10000,1000,600,100,0.2,0.8,0.8,0.8,,0.00%,100.00%,Nan
